indroea,event_id,inicio,fin,duracion,deficit_hm3
9013,369,1993-07-18,1993-08-03,17,0.18324804191063596
9013,370,1994-07-25,1994-09-22,60,3.6916904135593294
9013,371,1994-11-27,1994-12-26,30,0.48361935613765317
9013,372,1995-01-07,1995-01-15,9,0.12605760000000002
9013,373,1995-04-16,1995-06-20,66,8.911805288957405
9013,374,1995-07-02,1995-07-10,9,0.6148655999999999
9013,375,1995-07-24,1995-08-06,14,0.6425904961479291
9013,376,1995-10-29,1995-11-09,12,0.13901760000000019
9013,377,1997-06-22,1997-06-30,9,0.40023320225989445
9013,378,2001-12-19,2001-12-26,8,0.3479328
9013,379,2002-01-13,2002-02-11,30,0.1842365214175675
9013,380,2002-02-24,2002-02-28,5,0.1616976
9013,381,2002-06-30,2002-07-08,9,0.2908224
9013,382,2002-08-04,2002-08-11,8,0.2410560000000001
9013,383,2004-11-22,2004-12-06,15,0.21678719506934271
9013,384,2005-01-24,2005-02-14,22,0.2763504
9013,385,2005-02-26,2005-03-19,22,0.3587807975346714
9013,386,2005-07-10,2005-07-25,16,0.33278644807396474
9013,387,2005-09-23,2005-10-04,12,0.20245631309707435
9013,388,2006-01-02,2006-01-29,28,0.13716000000000006
9013,389,2006-05-22,2006-07-16,56,10.745009928710868
9013,390,2007-07-29,2007-09-13,47,0.47310413312789057
9013,391,2007-10-21,2007-11-19,30,0.5255712000000002
9013,392,2012-03-10,2012-03-25,16,0.1810944
9013,393,2015-05-21,2015-05-30,10,1.0471248
9013,394,2015-11-22,2015-12-06,15,0.12368026625578099
9013,395,2016-01-24,2016-02-08,16,0.19293120000000005
9013,396,2016-08-05,2016-09-12,39,0.4756961331278906
9013,397,2016-09-28,2016-10-10,13,0.27983812141756764
9013,398,2017-01-10,2017-01-14,5,0.20196000000000008
9013,399,2017-09-11,2018-01-02,114,3.6894774985105445
9013,400,2019-03-17,2019-04-17,32,0.8776944
9013,401,2021-04-13,2021-04-26,14,0.4634064000000001
9013,402,2021-05-27,2021-06-15,20,1.4891904000000005
9014,403,1976-10-09,1976-12-19,72,0.10940832000000004
9014,404,1977-02-27,1977-03-07,9,0.02595456
9014,405,1977-05-08,1977-05-15,8,0.031177440000000004
9014,406,1977-10-12,1977-10-17,6,0.017798400000000002
9014,407,1982-08-18,1982-09-02,16,0.008303040000000001
9014,408,1983-04-10,1983-04-15,6,0.00983664
9014,409,1983-04-29,1983-05-08,10,0.011568960000000001
9014,410,1984-03-23,1984-04-01,10,0.03838752
9014,411,1984-05-31,1984-09-28,121,0.31329072
9014,412,1984-10-14,1984-11-09,27,0.037160640000000016
9014,413,1984-11-23,1985-01-18,57,0.018174240000000008
9014,414,1985-08-19,1985-09-23,36,0.08503488
9014,415,1986-05-18,1986-08-16,91,0.34796304000000006
9014,416,1986-09-14,1986-09-27,14,0.013063680000000003
9014,417,1987-09-07,1987-09-27,21,0.021297600000000007
9014,418,1988-02-14,1988-03-08,24,0.062074080000000004
9014,419,1992-03-18,1992-03-27,10,0.041264640000000005
9014,420,1994-11-22,1994-12-08,17,0.03138912000000001
9014,421,1995-02-04,1995-02-13,10,0.01413072
9014,422,1995-11-03,1995-11-09,7,0.014929920000000001
